,value,type
Guillaume MALOCHET,1,Auteurs
Bruno DURIEZ,1,Auteurs
Caroline RICHEMONT,7,Auteurs
Brice DURY,15,Auteurs
Brigitte AURIACOMBE,1,Auteurs
Pascal BAVOUX,1,Auteurs
Cyria EMELIANOFF,1,Auteurs
Cyrille HARPET,1,Auteurs
Danielle BILLY-ROUIS,1,Auteurs
Danielle COLARDYN,1,Auteurs
Claire BÉLISLE,1,Auteurs
Claude BREVAN,1,Auteurs
Dominique LAROUSSE,1,Auteurs
Claudio BOLZMAN,2,Auteurs
Chris OLIVIER,1,Auteurs
Christelle MOREL-JOURNEL,2,Auteurs
"CES - CONSEIL ÉCONOMIQUE, SOCIAL",5,Auteurs
Christian LEFÈVRE,3,Auteurs
CCSPL  COMMISSION CONSULTATIVE DES SERVICES PUBLICS LOCAUX DU GRAND LYON,3,Auteurs
Collectif ECONOMIE ET HUMANISME,10,Auteurs
 COMMUNAUTÉ URBAINE DE LYON,3,Auteurs
"""CdD - CONSEIL DE DÉVELOPPEMENT DE LAGGLOMÉRATION LYONNAISE""",8,Auteurs
Diane SAMAMA,1,Auteurs
Roland JOUVENT,1,Auteurs
Didier CAZELLES,5,Auteurs
Didier LIVIO,1,Auteurs
Dieter GRAU,1,Auteurs
Jessica READ,1,Auteurs
Corinne HOOGE,7,Auteurs
Delphine GRAVIER,1,Auteurs
Denis CERCLET,2,Auteurs
Sociovision COFREMCA,1,Auteurs
Delphine BALVET,1,Auteurs
Delphine SCIARRINO,1,Auteurs
Ludivine SCIARRINO,1,Auteurs
Dominique BOURG,2,Auteurs
Dominique CARDON,3,Auteurs
Dominique LESTEL,1,Auteurs
Dominique LORRAIN,1,Auteurs
Enrico ALLASINO,1,Auteurs
Emmanuel BOUTEFEU,1,Auteurs
Emmanuel VIGNERON,1,Auteurs
Faïza BOULKEROUA,1,Auteurs
Emmanuelle HENRY,1,Auteurs
Emmanuel THIMONIER-ROUZET,1,Auteurs
Elinor KELLY,1,Auteurs
Elisabeth PERROT,2,Auteurs
Fernand BERTEN,1,Auteurs
François ASCHER,3,Auteurs
Edgar MORIN,1,Auteurs
Edmond HERVÉ,1,Auteurs
Jean-Louis BAL,1,Auteurs
Jean-Louis DAYAN,1,Auteurs
Jean-Luc VUILLEMENOT,1,Auteurs
Jean-Baptiste LESTRA,1,Auteurs
Jean-François ROUET,1,Auteurs
Jean-François TCHERNIA,2,Auteurs
Jean-Jack QUEYRANNE,1,Auteurs
Hugues PUEL,1,Auteurs
 INSEE - RHÔNE-ALPES ,1,Auteurs
Jean-Michel DELEUIL,1,Auteurs
Jean-Marc BERTHET,21,Auteurs
Jean-Philippe CLEMENT,1,Auteurs
Jean-Yves BOULIN,2,Auteurs
Jérôme BINDE,1,Auteurs
Julia GUDEFIN,1,Auteurs
Jany DHERVILLEZ,1,Auteurs
Jaques-Antoine MALAREWICZ,1,Auteurs
Jean BOISSONNAT,1,Auteurs
Laure ISNARD,1,Auteurs
Bernard BARRAQUE,1,Auteurs
Jean-Michel FOURNIAU,1,Auteurs
(LMDE) LA MUTUELLE DES ETUDIANTS,1,Auteurs
Alain HAYS,2,Auteurs
Ludovic ROGUET,1,Auteurs
Marianne GUEROIS,1,Auteurs
Fabien PAULUS,1,Auteurs
Attila BASKURT,1,Auteurs
Jean-Yves  TOUSSAINT,1,Auteurs
Laurent ARON,1,Auteurs
 LA MAISON DU FLEUVE RHÔNE,1,Auteurs
Lionel ARNAUD,2,Auteurs
Jean-Paul ARVEILLER,1,Auteurs
Rémi BARBIER,1,Auteurs
René RIZZARDO,1,Auteurs
Richard CANTIN,1,Auteurs
Robert JONAC,1,Auteurs
Stéphane CORDOBES,1,Auteurs
Anne PINCHART,2,Auteurs
Roland GORI,1,Auteurs
Sandrine BOUCHER,3,Auteurs
Sebastian ROCHE,32,Auteurs
Stéphanie BEAUCHENE,15,Auteurs
Stéphanie LEFORT-AUCHERE,1,Auteurs
Sophie BODY-GENDROT,2,Auteurs
Sophie BOISSARD,1,Auteurs
Sophie DE GAILLARD,1,Auteurs
Serge POUTS-LAJUS,1,Auteurs
Marielle RICHIE-MAGNIER,1,Auteurs
Siegfried Zhiqiang WU,1,Auteurs
cabinet SILOÉ,2,Auteurs
Serge BRUNEAU,1,Auteurs
Thomas FAILLEBIN,1,Auteurs
Thomas FAIST,1,Auteurs
Thierry BRUHAT,1,Auteurs
Hélène REIGNER,1,Auteurs
Valérie DRAMARD,1,Auteurs
Marie-Amandine VERMILLON,2,Auteurs
Thérèse LAFERRIÈRE,1,Auteurs
Étienne RODIN,1,Auteurs
Antoine FLEURY,1,Auteurs
Antoine LAZARUS,1,Auteurs
 NÉGAWATT,1,Auteurs
Benoît GUILLEMONT,1,Auteurs
Bernard CHOCAT,3,Auteurs
Bernard DREANO,1,Auteurs
Bernard JOUVE,6,Auteurs
Bernard MARET,1,Auteurs
Abdellatif CHAOUITE,1,Auteurs
Antoine BAILLY,1,Auteurs
Bernard PRÉEL,1,Auteurs
Boris BEAUDE,3,Auteurs
Aldo NAOURI,1,Auteurs
Anna Paula BEJA HORTA,1,Auteurs
Joana MIRANDA,1,Auteurs
"""Association Nationale DES DIRECTEURS DE LEDUCATION DES VILLES DE FRANCE""",1,Auteurs
André GIORDAN,1,Auteurs
Laura PANDELLE,1,Auteurs
Magali MARLIN,1,Auteurs
Anne-Cécile RAGOT,1,Auteurs
Hervé LE BRAS,1,Auteurs
Adelina MIRANDA,1,Auteurs
DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,59,Auteurs
Guillaume GOURGUES,1,Auteurs
Philippe JURY,6,Auteurs
Aisling HEALY,1,Auteurs
Guillaume POITRINAL,1,Auteurs
Guy POUZARD,1,Auteurs
Cécile FÉRÉ,2,Auteurs
Catherine TRAUTMANN,1,Auteurs
Chris BEYER,1,Auteurs
Emilie RICHARD,1,Auteurs
Dominique ROYOUX,1,Auteurs
Gilles FINCHELSTEIN,2,Auteurs
Gilles GUILLOT,1,Auteurs
Gilles JEANNOT,1,Auteurs
pôle universitaire de Lyon GIP,1,Auteurs
Françoise LORCERIE,1,Auteurs
Delphine CAVALLO,1,Auteurs
Françoise SION,1,Auteurs
Frédéric NAUDON,1,Auteurs
Valérie DEFOY,17,Auteurs
Georges DECOURT,2,Auteurs
François DUBET,2,Auteurs
François GRATEAU,1,Auteurs
François GUERY,1,Auteurs
Gilles BROCARD,1,Auteurs
Lucie VERCHERE,5,Auteurs
Marc BESSIN,1,Auteurs
Marc CHAMBOLLE,1,Auteurs
Michel COTE,1,Auteurs
Michel WIEVIORKA,5,Auteurs
Marine DOUCHY,1,Auteurs
Elina LUMBROSO,1,Auteurs
Marina VALENTE,1,Auteurs
Michèle MASSON,1,Auteurs
Marie-Elizabeth NICOLEAU,1,Auteurs
Alain BENINI,1,Auteurs
Martin GUESPEREAU,1,Auteurs
Julie FABRE,1,Auteurs
Marie-Christine POUCHELLE,1,Auteurs
Mike RACO,1,Auteurs
Martin VANIER,2,Auteurs
Martine CHANAL,1,Auteurs
Benoit EYRAUD,1,Auteurs
Pascal BEAU,1,Auteurs
Patrice AUBERTEL,1,Auteurs
Paul RAVEAUD,1,Auteurs
Thérèse SPECTOR,1,Auteurs
Patrick GUIHOT,1,Auteurs
Mohamed BENABBOU,1,Auteurs
Mohamed EL MANKIBI,1,Auteurs
Mónica COSTA,1,Auteurs
Paulo Manuel COSTA,1,Auteurs
Olivier COUSIN,1,Auteurs
Olivier GALLAND,1,Auteurs
Olivier GIVRE,3,Auteurs
Nicolas BARRÉ,1,Auteurs
Mélanie GAT,12,Auteurs
Michaël FAURE,1,Auteurs
 Nicole GOLANCZYK,2,Auteurs
Nicolas MERCAT,1,Auteurs
Nicolas SOULIER,1,Auteurs
Philippe GOUJON,1,Auteurs
Philippe JARREAU,1,Auteurs
Philippe MEIRIEU,2,Auteurs
Paul D.REITER,1,Auteurs
Patrick VIVERET,2,Auteurs
Paul ARIÈS,1,Auteurs
Pierre BRÉCHON,3,Auteurs
Pierre MARGOT-CATTIN,1,Auteurs
Philippe BILLET,1,Auteurs
Olivier BLANDIN,1,Auteurs
Pierre MICHEL,1,Auteurs
Philippe GACHE,1,Auteurs
Vinciane DESPRET,1,Auteurs
Philippe MAZUEL,1,Auteurs
Léa PEYRON,5,Auteurs
Thierry THEURILLAT,1,Auteurs
Jean-François DRAPERI,1,Auteurs
Jean GADREY,1,Auteurs
Michel CAPRON,1,Auteurs
Idir CHERIEF,1,Auteurs
Valérie BUTHION,1,Auteurs
Martine LONG,1,Auteurs
Michel BOUVIER,1,Auteurs
Philippe CORCUFF,1,Auteurs
Nicolas DUVOUX,1,Auteurs
Jean-Michel BONVIN,1,Auteurs
Yves CROZET,1,Auteurs
Vincent BERTHET,1,Auteurs
Marc GUILLAUME,1,Auteurs
Eric CEDIEY,12,Auteurs
Gabrielle FACK,1,Auteurs
Annie COLLOVALD,1,Auteurs
Chris YOUNÈS,1,Auteurs
Beate COLLET,1,Auteurs
Valérie SALA PALA,3,Auteurs
Patricia BAUMANN,1,Auteurs
François ROBERT,1,Auteurs
Loïc BONNEVAL,1,Auteurs
Lila COMBE,1,Auteurs
Fatiha BELMESSOUS,1,Auteurs
Sheila ROGERS,1,Auteurs
Philippe ESTÈBE,1,Auteurs
Surrendra SANTOKHI,1,Auteurs
Marie-Christine JAILLET,1,Auteurs
Hans WERDMÖLDER,1,Auteurs
Andrea REA,1,Auteurs
John WRENCH,1,Auteurs
Joseph YACOUB,1,Auteurs
Iván BAJOMI,1,Auteurs
Richard TOMLINS,1,Auteurs
Alain BATTEGAY,1,Auteurs
Marie-Clotilde MEILLERAND,1,Auteurs
Franck TANNERY,4,Auteurs
Benoît MEYRONIN,2,Auteurs
Frédérique BRUYAS,1,Auteurs
Bernard PELLECUER,1,Auteurs
Sophie LARGEAU,1,Auteurs
Manu BODINIER,1,Auteurs
Adèle SEYRIG,1,Auteurs
Jeanne CARTILLIER,1,Auteurs
Michel AGNAIEFF,1,Auteurs
Julien TALPIN,1,Auteurs
Luc FARALDI,1,Auteurs
Pierre CALAME,1,Auteurs
Jean-Pascal BONHOTAL,1,Auteurs
Gérard SOUSI,1,Auteurs
Abdelhafid HAMMOUCHE,1,Auteurs
Yves LAMBERT,1,Auteurs
Olivier CHAVANON,1,Auteurs
Mohamed Chérif FERJANI,2,Auteurs
Kamla CHOWDHRY,1,Auteurs
André MICOUD,2,Auteurs
""" HAUT CONSEIL À LINTÉGRATION""",2,Auteurs
Bétoule FEKKAR-LAMBIOTTE,1,Auteurs
Pierre MOEGLIN,1,Auteurs
"""CFEEDD COLLECTIF FRANÇAIS DE LEDUCATION À LENVIRONNEMENT """,1,Auteurs
Olivier MARTEL,2,Auteurs
Marc JEANNEROD,1,Auteurs
Jean NORMAND,1,Auteurs
René MORNEX,1,Auteurs
Véronique GRANGER,1,Auteurs
Jean-Paul BRAVARD,3,Auteurs
Michel RAFFIN,3,Auteurs
Jean-Louis MICHELOT,1,Auteurs
Paul MICHELET,1,Auteurs
Jean-Claude DECOURT,1,Auteurs
Jean-Paul DUMONTIER,1,Auteurs
Jocelyne BEARD,4,Auteurs
Gérard HYTTE,1,Auteurs
François GRETHER,1,Auteurs
Céline ROZENBLAT,2,Auteurs
Patricia CICILLE,1,Auteurs
Laurent LABORDE-TASTET,1,Auteurs
Jacques LEVY,1,Auteurs
Benoit GODIN,1,Auteurs
Philippe AIGRAIN,1,Auteurs
Manuel CASTELLS,2,Auteurs
Pablo JENSEN,2,Auteurs
Jean-Jacques WUNENBURGER,1,Auteurs
François DENIEUL,1,Auteurs
Yannick L’HORTY,1,Auteurs
"""Groupe dInitiatives Pour lIntégration dans la Ville GIPIV""",2,Auteurs
Patrick DESCHAMPS,1,Auteurs
Alain BYENAIMÉ,1,Auteurs
Alice TAGGER,1,Auteurs
André GORZ,1,Auteurs
Pierre WINICKI,1,Auteurs
Mathieu BOSTYN,1,Auteurs
Henry GEORGE,1,Auteurs
Bruno VOISIN,2,Auteurs
Virginie MILLIOT-BELMADANI,2,Auteurs
Christian BROMBERGER,1,Auteurs
Paul MOREAU,1,Auteurs
Éric HEILMANN,1,Auteurs
Patrick LUSSON,1,Auteurs
Gilles GARRIGOS,1,Auteurs
François-Régis GUILLAUME,1,Auteurs
Patrice MARIE,1,Auteurs
Jean-Claude BARTHEZ,2,Auteurs
Alain BOURGAREL,1,Auteurs
Elena DINGU-KYKLUND,1,Auteurs
Nicolas BALTENNECK,1,Auteurs
Gérard BERTOLINI,1,Auteurs
Yannick LEMEL,1,Auteurs
Raymond CURTET,1,Auteurs
Olivier BLEYS,1,Auteurs
Victor CHOMENTOWSKI,1,Auteurs
COSF -  COMITÉ OLYMPIQUE SPORTIF FRANÇAIS,1,Auteurs
Eurocités  EDURC,1,Auteurs
Charlotte RECOQUILLON,1,Auteurs
Gilles MARION,1,Auteurs
Yannick BRUXELLE,2,Auteurs
Gro Harlem BRUNDTLAND,1,Auteurs
Jean-Stephan CLERC,1,Auteurs
Gilbert AUGER,1,Auteurs
Denis CLERC,1,Auteurs
Gérard DEFOIS,1,Auteurs
Philippe CHAUDOIR,1,Auteurs
Marie-France ANTONA,1,Auteurs
Jean-Marie AUZIAS,3,Auteurs
Pierre BORDELEAU,1,Auteurs
Luciano LOIACONO-CLOUET,1,Auteurs
Luc BAPTISTE,1,Auteurs
Anne-Sophie CLEMENÇON,1,Auteurs
Élise HO-PUN-CHEUNG,2,Auteurs
Lucas PIESSAT,55,Auteurs
Gauthier BRAVAIS,17,Auteurs
Mathilde DELAMARE,1,Auteurs
Manon LOISEL,38,Auteurs
Patrick SIMON,2,Auteurs
 Maryame AMAROUCHE,1,Auteurs
Marie SENG,1,Auteurs
Chloé SERME MORIN,1,Auteurs
Justine SWORDY-BORIE,1,Auteurs
Selene VILLALEJO COTA,1,Auteurs
Eve DENJEAN,30,Auteurs
Alexis SPIRE,3,Auteurs
Vincent DUBOIS,3,Auteurs
Sandra JARRY,3,Auteurs
Irène GAILLARD,3,Auteurs
Vanina MOLLO,3,Auteurs
Thomas KIRSZBAUM,2,Auteurs
Emmanuelle SANTELLI,3,Auteurs
Marie Clémence LE PAPE,2,Auteurs
Maël DIEUDONNÉ,2,Auteurs
Jean-Loup AMSELLE,3,Auteurs
Olivier OULLIER,2,Auteurs
Astrid HOPFENSITZ,2,Auteurs
Cabinet TRAJECTOIRES REFLEX,2,Auteurs
Nicolas LEPRÊTRE,46,Auteurs
Pierre HOUSSAIS,4,Auteurs
Sylvère ANGOT,3,Auteurs
Quentin VERNETTE,10,Auteurs
Giorgio   DE AMBROGIO,2,Auteurs
Mélissa POUPELLOZ,2,Auteurs
Kamil HAJJI,3,Auteurs
Hélène DELHAY,27,Auteurs
Mathieu BRAND,4,Auteurs
Thomas COISPEL,4,Auteurs
Hervé CHAYGNEAUD-DUPUY,3,Auteurs
Julie GAYRAL,11,Auteurs
Xavier BRISBOIS,6,Auteurs
Pauline VAN LAERE,6,Auteurs
Frédéric SEGUR,4,Auteurs
Philippe CLERGEAU,3,Auteurs
Florent CHEVREAU,2,Auteurs
Danielle GALEA,2,Auteurs
Carine PRADELLES,2,Auteurs
Maïder LAUSSUCQ,2,Auteurs
Pierre DOMMERGUES,2,Auteurs
Christine DELFOUR,2,Auteurs
Arthur GRIMONPONT,12,Auteurs
Antoine ROYER,4,Auteurs
Malou ALLAGNAT,11,Auteurs
Angela  LANTERI,4,Auteurs
Alexandre MONNIN,16,Auteurs
Gilbert CETTE,1,Auteurs
Flavie FERCHAUD,1,Auteurs
Marie JOMARD,1,Auteurs
Paul COLONNA,3,Auteurs
Egizio VALCESCHINI,3,Auteurs
Thomas HAJDUKOWICZ,12,Auteurs
Béatrice MAURINES,5,Auteurs
Lilian PELLEGRINO,5,Auteurs
Blandine CERISIER,4,Auteurs
Clément RENAUD,3,Auteurs
Camille PERRET,3,Auteurs
Juliette PINARD,3,Auteurs
Maéva BIGOT,8,Auteurs
Diane GEFFROY,8,Auteurs
Fabien GIRARDIN,5,Auteurs
Antoine COURMONT,4,Auteurs
Yoann PUPAT,8,Auteurs
Elise ROCHE,1,Auteurs
Guillaume SÉCHET,1,Auteurs
Emilie DEFOORT,1,Auteurs
Kim SAKHO,5,Auteurs
Christine OLM,6,Auteurs
Natacha GONDRAN,6,Auteurs
Yoan OLLIVIER,26,Auteurs
Romain BEAUCHER,2,Auteurs
Valérie PEUGEOT,1,Auteurs
Marie-Claire VILLEVAL,1,Auteurs
Philippe STEINER,1,Auteurs
Benjamin BADIA,1,Auteurs
Patrice RAYMOND,1,Auteurs
Daniel KAPLAN,1,Auteurs
Gaëtan BRISEPIERRE,1,Auteurs
Catherine GRANDCLEMENT,1,Auteurs
Vincent RENAULD,1,Auteurs
Robert LAFORE,1,Auteurs
Chtristophe CHABROT,3,Auteurs
Anne FORNEROD,4,Auteurs
Laura DESMARIS,1,Auteurs
Marc URHY,1,Auteurs
Clara PERRIN,2,Auteurs
Fanny VIRY,1,Auteurs
Jean-Nicolas BIRCK,3,Auteurs
Gilbert BERLIOZ,4,Auteurs
 LALCA,6,Auteurs
Perrine TURGAULT,3,Auteurs
Philippe VIDELIER,2,Auteurs
Robert REVAT,2,Auteurs
Bruno CARBONNET,2,Auteurs
Antonio A. CASILLI,2,Auteurs
Manon MOLINS,2,Auteurs
Marine ALBAREDE,2,Auteurs
Vivienne BOLSIUS,2,Auteurs
Maaike OSIECK,2,Auteurs
Magali TALANDIER,3,Auteurs
Serge TISSERON,4,Auteurs
Arnaud FLORENTIN,4,Auteurs
Jocelyne CESARI,1,Auteurs
François RIO,2,Auteurs
Caroline MORICEAU,5,Auteurs
Laure PERRIN-VIDOZ,5,Auteurs
Hugues DE JOUVENEL,2,Auteurs
Frédéric BERTRAND,2,Auteurs
Philippe DURANCE,2,Auteurs
Béatrice CHARRE,2,Auteurs
Mireille LEMAHIEU,2,Auteurs
David GRAND,3,Auteurs
Jean-Pierre VIGNAT,2,Auteurs
Jean FURTOS,2,Auteurs
Stéphanie PORNIN,2,Auteurs
Cécile PEETERS,2,Auteurs
Florence ABITBOL,4,Auteurs
Noé DELARGILLIÈRE,2,Auteurs
