,source,target,values
6202,Nicolas NOVA,François MAYSSAL,3.0
6222,Nicolas NOVA,Fabien GIRARDIN,7.0
6232,Nicolas NOVA,Philippe GARGOV,2.0
6741,Claire HARPET,Aurélien BOUTAUD,4.0
6745,Claire HARPET,Philippe JURY,4.0
7302,Philippe JURY,Aurélien BOUTAUD,5.0
7305,Philippe JURY,Claire HARPET,4.0
8417,Julie JEAMMAUD,Boris CHABANEL,7.0
8418,Julie JEAMMAUD,Catherine DEBRAND,7.0
8419,Julie JEAMMAUD,Emile HOOGE,7.0
8420,Julie JEAMMAUD,Cédric POLÈRE,8.0
8421,Julie JEAMMAUD,Ludovic VIÉVARD,15.0
8422,Julie JEAMMAUD,Eve DENJEAN,7.0
8433,Julie JEAMMAUD,Caroline JANUEL,4.0
8437,Julie JEAMMAUD,Anouk JORDAN,7.0
8438,Julie JEAMMAUD,Sylvie  MAURIS-DEMOURIOUX,7.0
8508,Julie JEAMMAUD,Justin FOLLENFANT,2.0
8535,Julie JEAMMAUD,Pierre GROSDEMOUGE,2.0
8587,Julie JEAMMAUD,Dann METTIDJI,3.0
8648,Julie JEAMMAUD,Julien THIBURCE,2.0
8691,Julie JEAMMAUD,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,1.0
8982,Jean-Marc BERTHET,Ludovic VIÉVARD,3.0
9096,Jean-Marc BERTHET,Pierre GROSDEMOUGE,2.0
9166,Jean-Marc BERTHET,Malou ALLAGNAT,2.0
9230,Jean-Marc BERTHET,Yoann PUPAT,1.0
9252,Jean-Marc BERTHET,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,2.0
9418,Jean-Marc BERTHET,Laura DESMARIS,1.0
9419,Jean-Marc BERTHET,Marc URHY,1.0
9586,Catherine PANASSIER,Jean-Loup MOLIN,1.0
9785,Catherine PANASSIER,Sandra DECELLE,2.0
9966,Catherine PANASSIER,Anne PINCHART,2.0
10100,Caroline JANUEL,Boris CHABANEL,4.0
10101,Caroline JANUEL,Catherine DEBRAND,4.0
10102,Caroline JANUEL,Emile HOOGE,10.0
10103,Caroline JANUEL,Cédric POLÈRE,4.0
10104,Caroline JANUEL,Ludovic VIÉVARD,10.0
10105,Caroline JANUEL,Eve DENJEAN,9.0
10113,Caroline JANUEL,Julie JEAMMAUD,4.0
10120,Caroline JANUEL,Anouk JORDAN,7.0
10121,Caroline JANUEL,Sylvie  MAURIS-DEMOURIOUX,7.0
10152,Caroline JANUEL,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,5.0
10153,Caroline JANUEL,Lucas PIESSAT,6.0
10154,Caroline JANUEL,Gauthier BRAVAIS,6.0
10156,Caroline JANUEL,Caroline HAMON,29.0
10303,Caroline JANUEL,CCSPL  COMMISSION CONSULTATIVE DES SERVICES PUBLICS LOCAUX DU GRAND LYON,2.0
10374,Caroline JANUEL,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,1.0
10665,Marianne CHOUTEAU,Ludovic VIÉVARD,21.0
10682,Marianne CHOUTEAU,Sylvie  MAURIS-DEMOURIOUX,17.0
10692,Marianne CHOUTEAU,Catherine FORET,17.0
10725,Marianne CHOUTEAU,Pierre-Alain FOUR,17.0
10728,Marianne CHOUTEAU,Valérie DEFOY,17.0
10797,Marianne CHOUTEAU,Stéphane AUTRAN,1.0
10974,Marianne CHOUTEAU,Ludovic ROGUET,1.0
11241,Blandine CERISIER,Nicolas LEPRÊTRE,3.0
11781,Nicolas LEPRÊTRE,Anne-Caroline JAMBAUD,5.0
11782,Nicolas LEPRÊTRE,Benjamin  PRADEL,5.0
11784,Nicolas LEPRÊTRE,Catherine DEBRAND,3.0
11785,Nicolas LEPRÊTRE,Emile HOOGE,1.0
11786,Nicolas LEPRÊTRE,Cédric POLÈRE,6.0
11787,Nicolas LEPRÊTRE,Ludovic VIÉVARD,6.0
11801,Nicolas LEPRÊTRE,Blandine CERISIER,3.0
11804,Nicolas LEPRÊTRE,Sylvie  MAURIS-DEMOURIOUX,6.0
11805,Nicolas LEPRÊTRE,Julien CASALS,5.0
11808,Nicolas LEPRÊTRE,David CHEVALLIER,5.0
11830,Nicolas LEPRÊTRE,Jean-Loup MOLIN,13.0
11834,Nicolas LEPRÊTRE,Eddy MAAROUFI,5.0
11840,Nicolas LEPRÊTRE,Isabelle BARAUD-SERFATY,5.0
11841,Nicolas LEPRÊTRE,Margot BALDASSI,10.0
11842,Nicolas LEPRÊTRE,Philippe GARGOV,5.0
11845,Nicolas LEPRÊTRE,Quentin ZARAGORI,7.0
11876,Nicolas LEPRÊTRE,Perrine TURGAULT,3.0
11877,Nicolas LEPRÊTRE,Clément JOURDAN,4.0
11892,Nicolas LEPRÊTRE,Christine OLM,1.0
11901,Nicolas LEPRÊTRE,Pierre GROSDEMOUGE,1.0
11959,Nicolas LEPRÊTRE,Julie GAYRAL,2.0
12006,Nicolas LEPRÊTRE,Pierre HOUSSAIS,3.0
12148,Nicolas LEPRÊTRE,Kim SAKHO,5.0
